abbreviation	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
r_1024	(1) s_1096 + (1) s_1517 -> (1) s_1091 + (1) s_1521	irreversible	NA	  0.00	1000.00	  0.00	((YDR353W) or ((YDR353W) and (YGR209C)) or ((YDR353W) and (YLR043C)))	
r_1025	(1) s_1098 + (1) s_1518 -> (1) s_1094 + (1) s_1522	irreversible	NA	  0.00	1000.00	  0.00	(((YCR083W) and (YHR106W)) or ((YCR083W) and (YPL091W)))	
r_1026	(1) s_0949 -> (1) s_0366 + (1) s_0740	irreversible	NA	  0.00	1000.00	  0.00	(YEL046C)	
r_1027	(1) s_1122 -> (1) s_1207 + (1) s_0949	irreversible	NA	  0.00	1000.00	  0.00	(YCR053W)	
r_1028	(1) s_0446 + (1) s_0949 -> (1) s_0434 + (1) s_0605 + (1) s_1371	irreversible	NA	  0.00	1000.00	  0.00	(YIL078W)	
r_1029	(1) s_0449 + (1) s_0951 -> (1) s_0435 + (1) s_0608 + (1) s_1372	irreversible	NA	  0.00	1000.00	  0.00	(YKL194C)	
r_1030	(1) s_0446 + (1) s_1373 -> (1) s_0400 + (1) s_0619	irreversible	NA	  0.00	1000.00	  0.00		
r_1031	(1) s_1207 + (1) s_1373 <-> (1) s_0155 + (1) s_1375	reversible	NA	-1000.00	1000.00	  0.00	(YLR209C)	
r_1032	(1) s_0307 + (1) s_0624 -> (1) s_0619 + (1) s_0601	irreversible	NA	  0.00	1000.00	  0.00	(YOR074C)	
r_1033	(1) s_1293 + (1) s_1381 -> (1) s_1290 + (1) s_0006	irreversible	NA	  0.00	1000.00	  0.00	(YER175C)	
r_1034	(1) s_0852 + (1) s_1198 -> (1) s_0608 + (1) s_0795	irreversible	NA	  0.00	1000.00	  0.00	(YBR003W)	
r_1035	(1) s_0731 + (1) s_1304 <-> (1) s_0533 + (1) s_0539	reversible	NA	-1000.00	1000.00	  0.00	(YLR354C)	
r_1036	(1) s_0427 + (1) s_0561 <-> (1) s_0731 + (1) s_1304	reversible	NA	-1000.00	1000.00	  0.00	((YBR117C) or (YPR074C))	
